T. Perdido  D. Perdidas  D. Ruido  ID swap  nBalls  <20%  20%80%  >80% Recall Precision   MOTA   MOTP
3          22          111       107        9       3     0       0     3 88.36%    88.74% 76.21% 66.22%
3          23          107       103        8       3     0       0     3 88.78%    89.16% 77.15% 66.88%
3          20           85        81        2       3     0       0     3 91.09%    91.47% 82.39% 67.54%
3          18           68        64        6       3     0       0     3 92.87%    93.26% 85.53% 67.70%
3          17           62        58        6       3     0       0     3 93.50%    93.89% 86.79% 68.01%
3          16           49        45        2       3     0       0     3 94.86%    95.26% 89.94% 68.28%
3          15           42        37        2       3     0       0     3 95.60%    96.10% 91.51% 68.81%
3          14           42        37        4       3     0       0     3 95.60%    96.10% 91.30% 69.11%
3          11           39        31        2       3     0       0     3 95.91%    96.72% 92.45% 69.31%
3           9           36        27        2       3     0       0     3 96.23%    97.14% 93.19% 69.55%
3          11           37        25        2       3     0       0     3 96.12%    97.35% 93.29% 69.68%
3           9           34        19        6       3     0       0     3 96.44%    97.98% 93.82% 69.90%
3          10           37        19        6       3     0       0     3 96.12%    97.97% 93.50% 69.99%
3           7           40        19        6       3     0       0     3 95.81%    97.96% 93.19% 70.07%
3           7           40        19        6       3     0       0     3 95.81%    97.96% 93.19% 70.07%
3           7           40        19        6       3     0       0     3 95.81%    97.96% 93.19% 70.07%
3           7           42        19        2       3     0       0     3 95.60%    97.96% 93.40% 70.14%
3           7           42        19        2       3     0       0     3 95.60%    97.96% 93.40% 70.14%
3           7           45        17        0       3     0       0     3 95.28%    98.16% 93.50% 70.32%
3           6           43        15        0       3     0       0     3 95.49%    98.38% 93.92% 70.33%
3           6           43        15        0       3     0       0     3 95.49%    98.38% 93.92% 70.33%
3           6           45        14        0       3     0       0     3 95.28%    98.48% 93.82% 70.34%
3           4           36         4        0       3     0       0     3 96.23%    99.57% 95.81% 70.43%
3           3           37         4        0       3     0       0     3 96.12%    99.57% 95.70% 70.42%
3           4           40         5        0       3     0       0     3 95.81%    99.46% 95.28% 70.40%
3           3           42         5        0       3     0       0     3 95.60%    99.45% 95.07% 70.36%
3           3           43         6        0       3     0       0     3 95.49%    99.35% 94.86% 70.38%
3           3           43         5        0       3     0       0     3 95.49%    99.45% 94.97% 70.38%
3           3           43         5        0       3     0       0     3 95.49%    99.45% 94.97% 70.38%
3           3           43         5        0       3     0       0     3 95.49%    99.45% 94.97% 70.38%
3           3           43         5        0       3     0       0     3 95.49%    99.45% 94.97% 70.38%
3           3           43         5        0       3     0       0     3 95.49%    99.45% 94.97% 70.38%
3           3           43         5        0       3     0       0     3 95.49%    99.45% 94.97% 70.38%
3           3           43         4        0       3     0       0     3 95.49%    99.56% 95.07% 70.38%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         4        0       3     0       0     3 95.39%    99.56% 94.97% 70.41%
3           2           44         3        0       3     0       0     3 95.39%    99.67% 95.07% 70.41%
3           2           44         3        0       3     0       0     3 95.39%    99.67% 95.07% 70.41%
3           3           45         3        0       3     0       0     3 95.28%    99.67% 94.97% 70.44%
3           3           45         3        0       3     0       0     3 95.28%    99.67% 94.97% 70.44%
3           3           45         3        0       3     0       0     3 95.28%    99.67% 94.97% 70.44%
3           3           45         3        0       3     0       0     3 95.28%    99.67% 94.97% 70.44%
3           3           45         3        0       3     0       0     3 95.28%    99.67% 94.97% 70.44%
3           3           45         3        0       3     0       0     3 95.28%    99.67% 94.97% 70.44%
3           3           45         2        0       3     0       0     3 95.28%    99.78% 95.07% 70.44%
3           3           45         2        0       3     0       0     3 95.28%    99.78% 95.07% 70.44%
3           3           45         2        0       3     0       0     3 95.28%    99.78% 95.07% 70.44%
3           3           45         2        0       3     0       0     3 95.28%    99.78% 95.07% 70.44%
3           3           45         2        0       3     0       0     3 95.28%    99.78% 95.07% 70.44%
3           5           47         3        0       3     0       0     3 95.07%    99.67% 94.76% 70.41%
3           6           48         3        0       3     0       0     3 94.97%    99.67% 94.65% 70.42%
3           7           49         3        0       3     0       0     3 94.86%    99.67% 94.55% 70.41%
3           7           49         3        0       3     0       0     3 94.86%    99.67% 94.55% 70.41%
3           7           49         3        0       3     0       0     3 94.86%    99.67% 94.55% 70.41%
